"start","end","date","dev_id","hh_id","hh_id_m","ticks_yn","ticks_count","action_taken_ticks","water_count","_index","_id","uuid","water_rep_count","grazing_yn","grazing_count","grazing_rep_count","crops_yn","crops_count","crops_rep_count","mosquitos_yn","rodents_yn","rodents_count","rodents_rep_count","action_taken_rodents","hares_yn","hares_count","hares_rep_count","action_taken_hares","bats_yn","bats_count","bats_rep_count","action_taken_bats","sickness_human_yn","sickness_livestock_yn","firewood_yn","firewood_count","firewood_rep_count","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by","ticks_rep_count","mosquitos_count","mosquitos_rep_count","action_taken_mosquitos","sickness_livestock_count","sickness_livestock_rep_count","action_taken_sickness_livestock","sickness_human_count","sickness_human_rep_count","action_taken_sickness_human"
2024-04-25 09:29:53.578,2024-04-25 10:10:18.879,2024-04-25,"collect:xrIEUbZY74xsroUV","DHH010001",,"no",,,2,1,333150836,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",2,"yes",1,1,"yes",2,2,"no","yes",1,1,"no","yes",1,1,"no","yes",2,2,"no","no","no","yes",2,2,"v8W9UjtCHmT6htaTNGELNL","uuid:c6fe7c76-9fda-41a6-8ca4-b95046b85836","aHh7JzCQYQgFnrctbrNwGr","c6fe7c76-9fda-41a6-8ca4-b95046b85836","submitted_via_web",2024-04-25 12:50:35,,"dtra_nk",,,,,,,,,,
2024-04-26 08:56:43.565,2024-04-26 19:08:55.636,2024-04-26,"collect:xrIEUbZY74xsroUV","DHH010002",,"yes",2,"no",3,2,333633198,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",3,"yes",2,2,"yes",1,1,"yes","yes",1,1,"no","yes",1,1,"no","yes",2,2,"no","no","yes","yes",1,1,"v8W9UjtCHmT6htaTNGELNL","uuid:99333f99-db69-43c1-9e47-6dfd55fbf68f","aHh7JzCQYQgFnrctbrNwGr","99333f99-db69-43c1-9e47-6dfd55fbf68f","submitted_via_web",2024-04-26 19:10:10,,"dtra_nk",2,1,1,"no",1,1,"yes",,,
2024-04-27 08:26:22.886,2024-04-27 18:45:12.559,2024-04-27,"collect:xrIEUbZY74xsroUV","DHH010003",,"yes",2,"no",4,3,334087414,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",4,"yes",3,3,"yes",1,1,"yes","yes",1,1,"no","yes",2,2,"no","yes",2,2,"no","no","yes","yes",1,1,"v8W9UjtCHmT6htaTNGELNL","uuid:1e5365a2-4914-4c03-89db-50bbe6be6507","aHh7JzCQYQgFnrctbrNwGr","1e5365a2-4914-4c03-89db-50bbe6be6507","submitted_via_web",2024-04-28 18:33:13,,"dtra_nk",2,2,2,"no",1,1,"no",,,
2024-04-28 07:41:03.123,2024-04-28 18:31:55.694,2024-04-28,"collect:xrIEUbZY74xsroUV","DHH010004",,"yes",1,"no",1,4,334087416,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",1,"yes",2,2,"yes",1,1,"yes","yes",1,1,"no","yes",1,1,"no","yes",1,1,"no","no","no","yes",2,2,"v8W9UjtCHmT6htaTNGELNL","uuid:621672df-cad3-40a1-aa60-8640b35456eb","aHh7JzCQYQgFnrctbrNwGr","621672df-cad3-40a1-aa60-8640b35456eb","submitted_via_web",2024-04-28 18:33:14,,"dtra_nk",1,1,1,"no",,,,,,
2024-04-29 07:43:19.345,2024-04-29 19:27:06.447,2024-04-29,"collect:xrIEUbZY74xsroUV","DHH010005",,"yes",1,"no",3,5,334405956,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",3,"yes",2,2,"yes",1,1,"yes","yes",2,2,"no","yes",1,1,"no","yes",1,1,"no","no","no","yes",2,2,"v8W9UjtCHmT6htaTNGELNL","uuid:1d3d3727-5871-499d-be66-2eb197bb205d","aHh7JzCQYQgFnrctbrNwGr","1d3d3727-5871-499d-be66-2eb197bb205d","submitted_via_web",2024-04-29 19:27:19,,"dtra_nk",1,2,2,"no",,,,,,
2024-04-30 06:27:58.515,2024-05-01 13:40:01.856,2024-04-30,"collect:xrIEUbZY74xsroUV","DHH010006",,"yes",1,"no",2,6,334947284,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",2,"no",,,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",2,2,"no","yes","no","yes",1,1,"v8W9UjtCHmT6htaTNGELNL","uuid:423ea0db-77c9-435e-b02f-819df0683087","aHh7JzCQYQgFnrctbrNwGr","423ea0db-77c9-435e-b02f-819df0683087","submitted_via_web",2024-05-01 13:40:07,,"dtra_nk",1,1,1,"no",,,,1,1,"no"
2024-05-20 08:15:47.211,2024-05-20 17:20:55.866,2024-05-20,"collect:xrIEUbZY74xsroUV","DHH010007",,"yes",3,"yes",2,7,340982320,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",2,"yes",3,3,"no",,,"yes","yes",2,2,"no","yes",1,1,"no","no",,,,"no","yes","yes",2,2,"v6V5yjim5jtsS9jnFpamkL","uuid:f6c1d04d-b286-41a6-8e16-095bc904f442","aHh7JzCQYQgFnrctbrNwGr","f6c1d04d-b286-41a6-8e16-095bc904f442","submitted_via_web",2024-05-20 17:42:53,,"dtra_nk",3,1,1,"yes",1,1,"yes",,,
2024-05-20 09:50:00.748,2024-05-20 17:21:12.211,2024-05-20,"collect:xrIEUbZY74xsroUV","DHH010008",,"yes",1,"yes",1,8,340982324,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",1,"yes",2,2,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",1,1,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:7998772d-2c2e-402f-a436-c94a96e233ff","aHh7JzCQYQgFnrctbrNwGr","7998772d-2c2e-402f-a436-c94a96e233ff","submitted_via_web",2024-05-20 17:42:54,,"dtra_nk",1,1,1,"no",,,,,,
2024-05-21 06:01:44.499,2024-05-21 13:29:05.901,2024-05-21,"collect:xrIEUbZY74xsroUV","DHH010009",,"yes",1,"yes",2,9,341381524,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",2,"yes",2,2,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",1,1,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:1d3b1018-f13c-4938-ac1f-ee7419fb68f8","aHh7JzCQYQgFnrctbrNwGr","1d3b1018-f13c-4938-ac1f-ee7419fb68f8","submitted_via_web",2024-05-21 19:02:19,,"dtra_nk",1,2,2,"no",,,,,,
2024-05-21 08:05:44.414,2024-05-21 13:30:24.387,2024-05-21,"collect:xrIEUbZY74xsroUV","DHH010010",,"yes",1,"no",1,10,341381530,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",1,"yes",2,2,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",2,2,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:d27f1e8a-f518-4cb1-8eae-6ead41a77cc6","aHh7JzCQYQgFnrctbrNwGr","d27f1e8a-f518-4cb1-8eae-6ead41a77cc6","submitted_via_web",2024-05-21 19:02:19,,"dtra_nk",1,2,2,"no",,,,,,
