"start","end","date","dev_id","ecotone_location","ecotone_location_latitude","ecotone_location_longitude","ecotone_location_altitude","ecotone_location_precision","ecotone_location_wkt","ecotone_image","notes","_id","uuid","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by"
2024-04-27 10:41:17.477,2024-04-27 10:41:51.421,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9312291 36.7324999 1778.7444439163717 4.689",0.9312291,36.7324999,1778.74444391637,4.689,"POINT (36.7324999 0.9312291 1778.7444439163717)","1714214501114.jpg","Farms",333826218,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:f9a569ad-74f3-4196-9f0a-e76cf3dcd869","a4E8PDPfBLNHwfgjV8obmT","f9a569ad-74f3-4196-9f0a-e76cf3dcd869","submitted_via_web",2024-04-27 14:30:30,,"dtra_nk"
2024-04-27 07:58:42.235,2024-04-27 14:31:07.477,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9647444 36.6855824 1798.8653834474737 4.912",0.9647444,36.6855824,1798.86538344747,4.912,"POINT (36.6855824 0.9647444 1798.8653834474737)","1714204758407.jpg","Crop edge",333827742,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:5c860da8-e92d-42a7-8b11-d5c4ba6e4f52","a4E8PDPfBLNHwfgjV8obmT","5c860da8-e92d-42a7-8b11-d5c4ba6e4f52","submitted_via_web",2024-04-27 14:35:32,,"dtra_nk"
2024-04-27 08:00:08.17,2024-04-27 14:31:13.078,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.965038 36.6858507 1812.5043673109478 4.895",0.965038,36.6858507,1812.50436731095,4.895,"POINT (36.6858507 0.965038 1812.5043673109478)","1714204830157.jpg",,333827755,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:109ee2e7-b15f-4bb5-8178-9bd612bda0e3","a4E8PDPfBLNHwfgjV8obmT","109ee2e7-b15f-4bb5-8178-9bd612bda0e3","submitted_via_web",2024-04-27 14:35:33,,"dtra_nk"
2024-04-27 08:10:38.329,2024-04-27 14:31:17.091,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9646412 36.6848507 1815.7773862896527 4.957",0.9646412,36.6848507,1815.77738628965,4.957,"POINT (36.6848507 0.9646412 1815.7773862896527)","1714205473058.jpg","Bare ground, a few shrubs and trees",333827766,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:19fe57a2-6c96-474a-9042-b8a09a4edd8f","a4E8PDPfBLNHwfgjV8obmT","19fe57a2-6c96-474a-9042-b8a09a4edd8f","submitted_via_web",2024-04-27 14:35:35,,"dtra_nk"
2024-04-27 08:14:04.369,2024-04-27 14:31:21.692,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9652514 36.68601 1814.391249226203 4.961",0.9652514,36.68601,1814.3912492262,4.961,"POINT (36.68601 0.9652514 1814.391249226203)","1714205668630.jpg","Grassland with many trees",333827791,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:a7308340-8697-4350-a9c5-138cd6918960","a4E8PDPfBLNHwfgjV8obmT","a7308340-8697-4350-a9c5-138cd6918960","submitted_via_web",2024-04-27 14:35:39,,"dtra_nk"
2024-04-27 09:46:40.448,2024-04-27 14:31:26.267,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9583401 36.6928702 1813.7785965645062 4.833",0.9583401,36.6928702,1813.77859656451,4.833,"POINT (36.6928702 0.9583401 1813.7785965645062)","1714211234151.jpg","Open mixture of grass and acacia",333827827,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:76f29bca-4af8-4ad7-b8e5-54220221fd66","a4E8PDPfBLNHwfgjV8obmT","76f29bca-4af8-4ad7-b8e5-54220221fd66","submitted_via_web",2024-04-27 14:35:43,,"dtra_nk"
2024-04-27 09:51:29.089,2024-04-27 14:31:30.242,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9451094 36.6981535 1792.642268363351 4.539",0.9451094,36.6981535,1792.64226836335,4.539,"POINT (36.6981535 0.9451094 1792.642268363351)","1714211518786.jpg","Grassland with a few trees",333827841,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:e4742355-85b0-40cf-b944-bce9b8560eed","a4E8PDPfBLNHwfgjV8obmT","e4742355-85b0-40cf-b944-bce9b8560eed","submitted_via_web",2024-04-27 14:35:45,,"dtra_nk"
2024-04-27 10:30:15.297,2024-04-27 14:31:34.422,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9319188 36.7022763 1784.3108941727342 4.248",0.9319188,36.7022763,1784.31089417273,4.248,"POINT (36.7022763 0.9319188 1784.3108941727342)","1714213850690.jpg","Onion farm",333827874,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:a306f14f-0d02-4003-bbe3-d87a09b5f324","a4E8PDPfBLNHwfgjV8obmT","a306f14f-0d02-4003-bbe3-d87a09b5f324","submitted_via_web",2024-04-27 14:35:50,,"dtra_nk"
2024-04-27 10:33:58.635,2024-04-27 14:31:37.947,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9317954 36.7101772 1782.4688286052753 4.029",0.9317954,36.7101772,1782.46882860528,4.029,"POINT (36.7101772 0.9317954 1782.4688286052753)","1714214064173.jpg","Shrubs",333827929,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:9a19b76b-83db-4529-8281-31c0cd22bb2f","a4E8PDPfBLNHwfgjV8obmT","9a19b76b-83db-4529-8281-31c0cd22bb2f","submitted_via_web",2024-04-27 14:35:59,,"dtra_nk"
2024-04-27 10:38:09.011,2024-04-27 14:31:41.974,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9312694 36.722103 1780.4581259322115 4.108",0.9312694,36.722103,1780.45812593221,4.108,"POINT (36.722103 0.9312694 1780.4581259322115)","1714214325097.jpg","Patches of grass",333827957,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:8d4c99f4-8dbe-4147-b0f9-cace941bb0ab","a4E8PDPfBLNHwfgjV8obmT","8d4c99f4-8dbe-4147-b0f9-cace941bb0ab","submitted_via_web",2024-04-27 14:36:02,,"dtra_nk"
2024-04-27 10:41:55.775,2024-04-27 14:31:45.875,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9315587 36.7337655 1773.8281169435131 4.227",0.9315587,36.7337655,1773.82811694351,4.227,"POINT (36.7337655 0.9315587 1773.8281169435131)","1714214545699.jpg","River",333827973,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:90ac06ed-220d-4419-8fe3-d3c79fdae5f0","a4E8PDPfBLNHwfgjV8obmT","90ac06ed-220d-4419-8fe3-d3c79fdae5f0","submitted_via_web",2024-04-27 14:36:05,,"dtra_nk"
2024-04-27 10:42:33.921,2024-04-27 14:31:50.062,2024-04-27,"collect:Ko3jwT6G31vuAcKR","0.9318845 36.7357436 1778.9940093688554 4.802",0.9318845,36.7357436,1778.99400936886,4.802,"POINT (36.7357436 0.9318845 1778.9940093688554)","1714214607487.jpg","Farms",333827990,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:4154b2ff-ac05-49f7-b821-ee51275f580d","a4E8PDPfBLNHwfgjV8obmT","4154b2ff-ac05-49f7-b821-ee51275f580d","submitted_via_web",2024-04-27 14:36:07,,"dtra_nk"
