"start","end","date","dev_id","enumerator","enumerator_other","seca_S_id","seca_S_id_m","gps","X_gps_latitude","X_gps_longitude","X_gps_altitude","X_gps_precision","secb_aclass","secc_aweight","secd_max_blood","secd_blood_per_tube","secd_multiply_pipette","secd_MOD","secd_full_reagent","secd_blood_note_low","secd_blood_note_med","secd_blood_note_high","secd_blood_note_rodent","secc_species","secc_age","secc_sex","secc_preg","secc_lact","secc_cond","secc_clinical","secc_ph_cs","secc_ph_cs_URL","secc_suspect","secc_disease","sece_bcs","sece_m_bl","sece_m_el","sece_m_hf","sece_m_tail","sece_ph_fb","sece_ph_fb_URL","sece_ph_af","sece_ph_af_URL","sece_ph_lf","sece_ph_lf_URL","sece_euth","secd_ectoparasites","secd_ectoparasites_id","secd_ectoparasites_id_m","secd_edta_1","secd_edta_1_m","secd_edta_2","secd_edta_2_m","secd_serum","secd_serum_m","secg_comments","X_id","X_uuid","X_submission_time","X_validation_status","X_notes","X_status","X_submitted_by","X__version__","X_tags","X_index"
"2024-04-25T10:10:58.679+03:00","2024-04-25T10:38:42.964+03:00","2024-04-25","collect:Ko3jwT6G31vuAcKR",1,,"DST030003",,"0.9362832 36.7019471 1789.4338125841944 3.9",0.9362832,36.7019471,1789.43381258419,3.9,3,64,640,213.333333333333,14.2222222222222,14,2100,,,,,1,2,3,,,1,,,,2,,3,,,,,"1714030550883.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fcb79041e-fc59-4906-98f4-9e9a94a23201%2F1714030550883.jpg","1714030566534.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fcb79041e-fc59-4906-98f4-9e9a94a23201%2F1714030566534.jpg","1714030578021.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fcb79041e-fc59-4906-98f4-9e9a94a23201%2F1714030578021.jpg",2,0,,,"DDT000033",,"DDT000032",,"DSR000004",,"None",333281824,"cb79041e-fc59-4906-98f4-9e9a94a23201","2024-04-25T18:25:12",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,1
"2024-04-25T10:49:04.861+03:00","2024-04-25T11:04:39.602+03:00","2024-04-25","collect:Ko3jwT6G31vuAcKR",1,,"DST030003",,"0.9362508 36.7018894 1784.2277833192848 3.9",0.9362508,36.7018894,1784.22778331928,3.9,3,31,310,103.333333333333,6.88888888888889,6,900,,,,,1,2,3,,,1,,,,2,,3,,,,,"1714032159958.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fab6c4a5c-2a25-48e9-85ee-6a6d488354bb%2F1714032159958.jpg","1714032170931.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fab6c4a5c-2a25-48e9-85ee-6a6d488354bb%2F1714032170931.jpg","1714032183574.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fab6c4a5c-2a25-48e9-85ee-6a6d488354bb%2F1714032183574.jpg",2,0,,,"DDT000031",,"DDT000034",,"DSR000007",,"None",333281859,"ab6c4a5c-2a25-48e9-85ee-6a6d488354bb","2024-04-25T18:25:19",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,2
"2024-04-25T11:07:40.003+03:00","2024-04-25T11:20:02.981+03:00","2024-04-25","collect:Ko3jwT6G31vuAcKR",1,,"DST030003",,"0.9362384 36.7019141 1786.3219182095 4.874",0.9362384,36.7019141,1786.3219182095,4.874,3,31,310,103.333333333333,6.88888888888889,6,900,,,,,1,2,3,,,1,,,,2,,3,,,,,"1714033073950.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Ff2e09285-e4ce-4f57-bcef-5bcc3b03a07f%2F1714033073950.jpg","1714033092187.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Ff2e09285-e4ce-4f57-bcef-5bcc3b03a07f%2F1714033092187.jpg","1714033105463.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Ff2e09285-e4ce-4f57-bcef-5bcc3b03a07f%2F1714033105463.jpg",2,0,,,"DDT000030",,"DDT000029",,"DSR000002",,,333281936,"f2e09285-e4ce-4f57-bcef-5bcc3b03a07f","2024-04-25T18:25:28",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,3
"2024-04-25T11:26:47.554+03:00","2024-04-25T11:37:36.531+03:00","2024-04-25","collect:Ko3jwT6G31vuAcKR",1,,"DST030003",,"0.9362143 36.7019347 1785.2489241167107 4.695",0.9362143,36.7019347,1785.24892411671,4.695,3,25,250,83.3333333333333,5.55555555555556,5,750,,,,,1,2,3,,,1,,,,2,,3,,,,,"1714034150363.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F9bc77258-db4d-4132-aedc-0d7c25968df6%2F1714034150363.jpg","1714034165228.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F9bc77258-db4d-4132-aedc-0d7c25968df6%2F1714034165228.jpg","1714034176204.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F9bc77258-db4d-4132-aedc-0d7c25968df6%2F1714034176204.jpg",2,0,,,"DDT000036",,"DDT000035",,"DSR000006",,"None",333281976,"9bc77258-db4d-4132-aedc-0d7c25968df6","2024-04-25T18:25:36",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,4
"2024-04-26T08:30:53.567+03:00","2024-04-26T08:59:17.066+03:00","2024-04-26","collect:Ko3jwT6G31vuAcKR",1,,"DST030002",,"0.9586897 36.7550364 1796.4365549865386 4.951",0.9586897,36.7550364,1796.43655498654,4.951,3,52,520,173.333333333333,11.5555555555556,11,1650,,,,,1,2,3,,,1,,,,2,,3,,,,,"1714111050493.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fffb4f363-7db1-4f6a-9bfa-a0a0446758b5%2F1714111050493.jpg","1714111073943.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fffb4f363-7db1-4f6a-9bfa-a0a0446758b5%2F1714111073943.jpg","1714111089287.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fffb4f363-7db1-4f6a-9bfa-a0a0446758b5%2F1714111089287.jpg",2,0,,,"DDT000040",,"DDT000039",,"DSR000014",,,333622707,"ffb4f363-7db1-4f6a-9bfa-a0a0446758b5","2024-04-26T18:21:16",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,5
"2024-04-26T09:01:08.389+03:00","2024-04-26T10:24:42.748+03:00","2024-04-26","collect:Ko3jwT6G31vuAcKR",1,,"DST030002",,"0.9586861 36.7550447 1793.1046034828382 4.485",0.9586861,36.7550447,1793.10460348284,4.485,3,22,220,73.3333333333333,4.88888888888889,4,600,,,,,1,2,3,,,1,,,,2,,3,,,,,"1714112644701.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F6a7902c7-c20f-494d-bfbd-30b283bc9762%2F1714112644701.jpg","1714112666637.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F6a7902c7-c20f-494d-bfbd-30b283bc9762%2F1714112666637.jpg","1714112700164.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2F6a7902c7-c20f-494d-bfbd-30b283bc9762%2F1714112700164.jpg",2,0,,,"DDT000056",,"DDT000038",,"DSR000013",,"For EDTA ALQ 2 it was 70ul instead of 50ul and Serum sample was 25ul out of 50ul",333622766,"6a7902c7-c20f-494d-bfbd-30b283bc9762","2024-04-26T18:21:36",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,6
"2024-04-26T09:27:24.508+03:00","2024-04-26T09:42:50.320+03:00","2024-04-26","collect:Ko3jwT6G31vuAcKR",1,,"DST030002",,"0.9586839 36.7550368 1797.0218790730487 3.892",0.9586839,36.7550368,1797.02187907305,3.892,3,120,1200,400,26.6666666666667,26,3900,,,,,1,2,3,,,1,,,,2,,3,,,,,"1714113657006.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fd818c1a2-97e5-43c1-8087-412a65ce760f%2F1714113657006.jpg","1714113677687.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fd818c1a2-97e5-43c1-8087-412a65ce760f%2F1714113677687.jpg","1714113686907.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fd818c1a2-97e5-43c1-8087-412a65ce760f%2F1714113686907.jpg",2,0,,,"DDT000041",,"DDT000042",,"DSR000008",,,333622863,"d818c1a2-97e5-43c1-8087-412a65ce760f","2024-04-26T18:22:13",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,7
"2024-04-26T09:46:44.960+03:00","2024-04-26T10:00:35.870+03:00","2024-04-26","collect:Ko3jwT6G31vuAcKR",1,,"DST030002",,"0.958672 36.7550359 1798.5078854453302 4.716",0.958672,36.7550359,1798.50788544533,4.716,3,147,1470,490,32.6666666666667,32,4800,,,,,1,2,3,,,1,,,,2,,3,,,,,"1714114736722.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fb8d2eb78-4363-468d-8d30-a0aeb5b86ebd%2F1714114736722.jpg","1714114758193.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fb8d2eb78-4363-468d-8d30-a0aeb5b86ebd%2F1714114758193.jpg","1714114773145.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fb8d2eb78-4363-468d-8d30-a0aeb5b86ebd%2F1714114773145.jpg",2,0,,,"DDT000046",,"DDT000037",,"DSR000012",,"None",333622941,"b8d2eb78-4363-468d-8d30-a0aeb5b86ebd","2024-04-26T18:22:59",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,8
"2024-04-26T10:01:53.052+03:00","2024-04-26T10:21:31.095+03:00","2024-04-26","collect:Ko3jwT6G31vuAcKR",1,,"DST030002",,"0.9586778 36.7550418 1798.1337806016118 4.402",0.9586778,36.7550418,1798.13378060161,4.402,3,23,230,76.6666666666667,5.11111111111111,5,750,,,,,1,2,3,,,1,,,,2,,3,,,,,,,,,,,2,0,,,"DDT000047",,"DDT000045",,"DSR000010",,"Incorrect EDTA ALQ1 and ALQ2. No samples collected, bird flew away . Serum only 25ul out of 50 was collected ",333622942,"4636ba32-770c-44d0-9eb4-a027e497b6e4","2024-04-26T18:23:00",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,9
"2024-04-27T08:30:12.840+03:00","2024-04-27T17:33:59.235+03:00","2024-04-27","collect:Ko3jwT6G31vuAcKR",1,,"DST030001",,"0.9646591 36.6849399 1814.6931096124802 4.598",0.9646591,36.6849399,1814.69310961248,4.598,3,22,220,73.3333333333333,4.88888888888889,4,600,,,,,1,2,3,,,1,,,,2,,3,,,,,,,"1714197438692.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fc1318790-b0b0-4d2b-96f0-c41de0c7055c%2F1714197438692.jpg","1714197625101.jpg","https://kc.kobotoolbox.org/media/original?media_file=dtrank_master%2Fattachments%2Fe01f64cbf4e04e0894772b92ce0fc0fa%2Fc1318790-b0b0-4d2b-96f0-c41de0c7055c%2F1714197625101.jpg",2,0,,,"DDT000043",,,"DDT000000","DSR000019",,"Second EDTA not collected",333828367,"c1318790-b0b0-4d2b-96f0-c41de0c7055c","2024-04-27T14:37:27",,,"submitted_via_web","dtra_nk","vJhrvbmdMjoNmfga2zZ5sv",,10
