"start","end","date","dev_id","gps","X_gps_latitude","X_gps_longitude","X_gps_altitude","X_gps_precision","enumerator","enumerator_other","seca_locate","seca_species","hh_id","hh_id_m","secb_S_id","secb_S_id_m","secd_comments","X_id","X_uuid","X_submission_time","X_validation_status","X_notes","X_status","X_submitted_by","X__version__","X_tags","X_index"
"2024-04-25T11:49:49.482+03:00","2024-04-25T11:52:12.771+03:00","2024-04-25","collect:Ko3jwT6G31vuAcKR","0.9365897 36.7022033 1783.9963188983236 3.982",0.9365897,36.7022033,1783.99631889832,3.982,1,,1,,"DHH010001",,"DST030003",,"None",333281984,"2f141b21-0a03-448b-984e-6801dda6e478","2024-04-25T18:25:36",,,"submitted_via_web","dtra_nk","vAbiqerApBNtTwHbQ4gJYt",,1
"2024-04-26T10:29:13.379+03:00","2024-04-26T21:23:36.844+03:00","2024-04-26","collect:Ko3jwT6G31vuAcKR","0.9580268 36.7546333 1808.0 4.066",0.9580268,36.7546333,1808,4.066,1,,1,,"DHH010002",,"DST030002",,"None",333623170,"02b85171-3429-4dc4-b05f-9402d32a8288","2024-04-26T18:24:07",,,"submitted_via_web","dtra_nk","vAbiqerApBNtTwHbQ4gJYt",,2
"2024-04-27T10:46:07.146+03:00","2024-04-27T17:34:46.546+03:00","2024-04-27","collect:Ko3jwT6G31vuAcKR","0.9648935 36.6854105 1797.0570320334245 4.735",0.9648935,36.6854105,1797.05703203342,4.735,1,,1,,"DHH010003",,"DST030001",,"None",333829530,"6ca001d3-feb3-4952-9f95-8c5e8425da59","2024-04-27T14:41:24",,,"submitted_via_web","dtra_nk","vAbiqerApBNtTwHbQ4gJYt",,3
"2024-04-29T14:18:46.931+03:00","2024-04-30T16:25:40.142+03:00","2024-04-29","collect:W7gdBJ4Ypb4GvukP","0.9304663 36.6942218 1786.9964665796324 4.407",0.9304663,36.6942218,1786.99646657963,4.407,2,,1,,"DHH010004",,"DST030004",,"No comment",334638874,"ce96823b-0351-4e0d-8036-88511c409327","2024-04-30T13:27:06",,,"submitted_via_web","dtra_nk","vAbiqerApBNtTwHbQ4gJYt",,4
"2024-04-29T14:13:50.694+03:00","2024-04-30T22:23:38.030+03:00","2024-04-29","collect:Ko3jwT6G31vuAcKR",,,,,,2,,1,,"DHH010005",,"DST030005",,"Geo-point wasn't recorded",334758837,"582c70f7-fbdf-46c3-9f13-0e31f7f15af3","2024-04-30T19:24:43",,,"submitted_via_web","dtra_nk","vAbiqerApBNtTwHbQ4gJYt",,5
"2024-04-30T11:22:55.289+03:00","2024-04-30T22:22:16.701+03:00","2024-04-30","collect:Ko3jwT6G31vuAcKR","0.9451313 36.7481453 1786.791442137559 4.897",0.9451313,36.7481453,1786.79144213756,4.897,2,,1,,"DHH010005",,"DST030005",,,334758840,"d198c1f9-7340-4a4c-947e-ebdb0f6afafc","2024-04-30T19:24:44",,,"submitted_via_web","dtra_nk","vAbiqerApBNtTwHbQ4gJYt",,6
"2024-04-28T12:59:50.140+03:00","2024-05-01T04:48:20.226+03:00","2024-04-28","collect:Ko3jwT6G31vuAcKR","0.964818 36.6853912 1810.7727562314174 4.665",0.964818,36.6853912,1810.77275623142,4.665,2,,1,,"DHH010003",,"DST030001",,"No comment",334813044,"37befe49-d7a6-46ed-8732-c7adf1d68f9c","2024-05-01T01:53:40",,,"submitted_via_web","dtra_nk","vAbiqerApBNtTwHbQ4gJYt",,7
"2024-04-29T10:21:06.897+03:00","2024-05-01T04:57:40.421+03:00","2024-04-29","collect:Ko3jwT6G31vuAcKR","0.9459307 36.7485844 1791.7620195219704 4.122",0.9459307,36.7485844,1791.76201952197,4.122,1,,1,,"DHH010005",,"DST030005",,"Birds flying extremely high",334813320,"e33e446a-841d-438d-bd28-fa718d9ae10d","2024-05-01T01:57:47",,,"submitted_via_web","dtra_nk","vAbiqerApBNtTwHbQ4gJYt",,8
"2024-04-29T13:19:05.682+03:00","2024-05-01T04:59:10.087+03:00","2024-04-29","collect:Ko3jwT6G31vuAcKR","0.9460253 36.7485234 1788.9519578147615 4.536",0.9460253,36.7485234,1788.95195781476,4.536,2,,1,,"DHH010005",,"DST030005",,"Scattered shrubs.Hare spotted in the bushes",334813402,"30a867d1-f345-463b-b6c9-d1f974c09559","2024-05-01T01:59:18",,,"submitted_via_web","dtra_nk","vAbiqerApBNtTwHbQ4gJYt",,9
"2024-05-20T12:00:26.713+03:00","2024-05-20T20:30:07.484+03:00","2024-05-20","collect:Ko3jwT6G31vuAcKR","1.6419695 37.3788585 647.6622806172483 4.938",1.6419695,37.3788585,647.662280617248,4.938,2,,1,1,"DHH010007",,"DST030007",,"No comment",340979182,"0b5c2efb-afb6-4e3e-8b7a-4983e718a7c0","2024-05-20T17:30:27",,,"submitted_via_web","dtra_nk","vY2qBvKxJWf88GJDfdKsEH",,10
"2024-05-20T13:05:20.755+03:00","2024-05-20T20:30:22.906+03:00","2024-05-20","collect:Ko3jwT6G31vuAcKR","1.6403628 37.3839354 632.9904228289909 4.943",1.6403628,37.3839354,632.990422828991,4.943,2,,1,1,"DHH010008",,"DST030008",,"No comment",340979184,"80441a35-77fa-4cf0-bf36-56711935035e","2024-05-20T17:30:27",,,"submitted_via_web","dtra_nk","vY2qBvKxJWf88GJDfdKsEH",,11
"2024-05-21T11:07:29.125+03:00","2024-05-21T22:15:29.792+03:00","2024-05-21","collect:Ko3jwT6G31vuAcKR","1.6441902 37.3859949 633.0947951426097 4.974",1.6441902,37.3859949,633.09479514261,4.974,2,,1,1,"DHH010010",,"DST030010",,"No comment",341384093,"020dc05a-44ab-44fe-93f2-42f6b14c2b7e","2024-05-21T19:15:38",,,"submitted_via_web","dtra_nk","vY2qBvKxJWf88GJDfdKsEH",,12
"2024-05-21T10:57:34.782+03:00","2024-05-21T22:15:12.598+03:00","2024-05-21","collect:Ko3jwT6G31vuAcKR","1.6464053 37.38357 636.6947233727609 4.782",1.6464053,37.38357,636.694723372761,4.782,2,,1,1,"DHH010009",,"DST030009",,"No comment",341384098,"e6eaa7f1-13d2-4679-9190-4e41b98c2250","2024-05-21T19:15:39",,,"submitted_via_web","dtra_nk","vY2qBvKxJWf88GJDfdKsEH",,13
"2024-05-22T11:45:05.010+03:00","2024-05-22T20:31:12.389+03:00","2024-05-22","collect:Ko3jwT6G31vuAcKR","1.6489359 37.3854059 643.5362483426759 4.555",1.6489359,37.3854059,643.536248342676,4.555,2,,1,1,"DHH010012",,"DST030012",,"No comment",341726494,"fc4225e2-5dd8-4bc7-83f7-d5a271e0ac66","2024-05-22T17:31:35",,,"submitted_via_web","dtra_nk","vY2qBvKxJWf88GJDfdKsEH",,14
"2024-05-21T11:29:52.208+03:00","2024-05-22T20:31:30.696+03:00","2024-05-21","collect:Ko3jwT6G31vuAcKR","1.6420254 37.3789876 631.1167311747089 4.621",1.6420254,37.3789876,631.116731174709,4.621,2,,1,2,"DHH010007",,"DST030007",,"No comment",341726498,"7ace3af4-a56a-4057-870d-d1b0fe176f16","2024-05-22T17:31:36",,,"submitted_via_web","dtra_nk","vY2qBvKxJWf88GJDfdKsEH",,15
"2024-05-22T11:20:28.604+03:00","2024-05-22T20:56:19.050+03:00","2024-05-22","collect:Ko3jwT6G31vuAcKR","1.6509639 37.3831078 644.249768633904 4.693",1.6509639,37.3831078,644.249768633904,4.693,2,,1,1,"DHH010011",,"DST030011",,"No comment",341734542,"7e451f02-a218-43c4-9aa5-920d34c6fcd4","2024-05-22T17:56:24",,,"submitted_via_web","dtra_nk","vY2qBvKxJWf88GJDfdKsEH",,16
"2024-05-23T06:48:47.925+03:00","2024-05-24T19:26:28.331+03:00","2024-05-23","collect:Ko3jwT6G31vuAcKR","1.6512618 37.3834875 638.1798359975687 4.449",1.6512618,37.3834875,638.179835997569,4.449,2,,1,2,"DHH010011",,"DST030011",,"No comment ",342429650,"f77be52f-5827-47d4-8e18-97bef8796a30","2024-05-24T16:26:39",,,"submitted_via_web","dtra_nk","vY2qBvKxJWf88GJDfdKsEH",,17
"2024-05-23T06:18:18.350+03:00","2024-05-24T19:25:37.954+03:00","2024-05-23","collect:Ko3jwT6G31vuAcKR","1.6440937 37.3856176 635.002207521726 4.835",1.6440937,37.3856176,635.002207521726,4.835,2,,1,2,"DHH010010",,"DST030010",,"No comment ",342429653,"8ee7685d-bd43-4f7a-ab01-5d7a4b041eac","2024-05-24T16:26:39",,,"submitted_via_web","dtra_nk","vY2qBvKxJWf88GJDfdKsEH",,18
