"INDEX","TAG","DATE","TIME","LATITUDE.N.S","LONGITUDE.E.W","HEIGHT","SPEED","HEADING"
1,TRUE,240520,83210,"1.6420731N",37.3786606,659,0.6,0
2,TRUE,240520,83220,"1.6420681N",37.3786516,660,0,0
3,TRUE,240520,83230,"1.6420671N",37.37865,659,2.5,0
4,TRUE,240520,83240,"1.6420541N",37.3785328,687,9.3,232
5,TRUE,240520,83250,"1.6420246N",37.3786076,667,0,220
6,TRUE,240520,83251,"1.6420238N",37.3786111,667,0,220
7,TRUE,240520,83252,"1.6420228N",37.3786128,667,0,220
8,TRUE,240520,83253,"1.6420243N",37.3786135,667,0,220
9,TRUE,240520,83254,"1.6420255N",37.3786143,667,0,220
10,TRUE,240520,83255,"1.6420263N",37.3786151,667,0,220
11,TRUE,240520,83256,"1.6420270N",37.3786161,667,0,220
12,TRUE,240520,83257,"1.6420260N",37.3786156,667,0,220
13,TRUE,240520,83258,"1.6420253N",37.3786151,667,0,220
14,TRUE,240520,83259,"1.6420243N",37.3786151,667,0,220
15,TRUE,240520,83309,"1.6420308N",37.378626,664,0,220
16,TRUE,240520,83319,"1.6420283N",37.37863,663,0,220
17,TRUE,240520,83329,"1.6420296N",37.3786381,662,0,220
18,TRUE,240520,83339,"1.6420378N",37.3786448,659,0,220
19,TRUE,240520,83349,"1.6420406N",37.3786486,658,0,220
20,TRUE,240520,83359,"1.6420423N",37.378648,658,0,220
21,TRUE,240520,83409,"1.6420448N",37.3786495,658,0,220
22,TRUE,240520,83419,"1.6420470N",37.3786511,658,0,220
23,TRUE,240520,83429,"1.6420688N",37.3786573,659,0.3,14
24,TRUE,240520,83439,"1.6420638N",37.3786585,659,0,14
25,TRUE,240520,83449,"1.6420611N",37.3786638,659,0,14
26,TRUE,240520,83459,"1.6420580N",37.3786625,659,0,14
27,TRUE,240520,83509,"1.6420563N",37.3786625,659,0,14
28,TRUE,240520,83519,"1.6420545N",37.3786623,659,0,14
29,TRUE,240520,83529,"1.6420528N",37.3786611,658,0,14
30,TRUE,240520,83539,"1.6420518N",37.378661,658,0,14
31,TRUE,240520,83549,"1.6420521N",37.3786613,658,0,14
32,TRUE,240520,83559,"1.6420513N",37.3786616,658,0,14
33,TRUE,240520,83609,"1.6420506N",37.3786623,658,0,14
34,TRUE,240520,83619,"1.6420501N",37.3786631,658,0,14
35,TRUE,240520,83629,"1.6420496N",37.378664,658,0,14
36,TRUE,240520,83639,"1.6420488N",37.3786645,658,0,14
37,TRUE,240520,83649,"1.6420486N",37.3786651,658,0,14
38,TRUE,240520,83659,"1.6420481N",37.3786656,658,0,14
39,TRUE,240520,83709,"1.6420475N",37.378666,658,0,14
40,TRUE,240520,83719,"1.6420466N",37.378666,658,0,14
41,TRUE,240520,83729,"1.6420480N",37.3786701,659,0,14
42,TRUE,240520,83739,"1.6420415N",37.3786756,660,0,131
43,TRUE,240520,83749,"1.6420445N",37.3786716,660,0,131
44,TRUE,240520,83759,"1.6420461N",37.3786698,660,0,131
45,TRUE,240520,83809,"1.6420475N",37.3786676,660,0,131
46,TRUE,240520,83819,"1.6420485N",37.3786655,660,0,131
47,TRUE,240520,83829,"1.6420503N",37.3786625,660,0,131
48,TRUE,240520,83839,"1.6420520N",37.3786598,660,0,131
49,TRUE,240520,83849,"1.6420545N",37.3786571,659,0,131
50,TRUE,240520,83859,"1.6420600N",37.3786568,660,2.4,131
51,TRUE,240520,83909,"1.6420753N",37.378662,660,3.9,7
52,TRUE,240520,83919,"1.6421335N",37.3786425,660,0,319
53,TRUE,240520,83929,"1.6421503N",37.3786313,660,0,319
54,TRUE,240520,83939,"1.6421501N",37.3786295,660,0,319
55,TRUE,240520,83949,"1.6421115N",37.3786143,659,3.2,227
56,TRUE,240520,83959,"1.6420905N",37.3785866,659,0,227
57,TRUE,240520,84009,"1.6420906N",37.3785896,658,0,227
58,TRUE,240520,84019,"1.6420873N",37.378595,658,0,227
59,TRUE,240520,84029,"1.6420901N",37.378596,658,0,227
60,TRUE,240520,84039,"1.6420710N",37.3786068,658,3.3,152
61,TRUE,240520,84049,"1.6420360N",37.378628,658,1.3,152
62,TRUE,240520,84059,"1.6420768N",37.378666,657,4.5,24
63,TRUE,240520,84109,"1.6420935N",37.3786721,657,0,24
64,TRUE,240520,84119,"1.6420926N",37.3786716,657,0,24
65,TRUE,240520,84129,"1.6420645N",37.3786048,657,3.5,269
66,TRUE,240520,84139,"1.6420505N",37.378599,657,0,269
67,TRUE,240520,84149,"1.6420393N",37.378592,656,0,269
68,TRUE,240520,84159,"1.6420370N",37.3785903,656,0,269
69,TRUE,240520,84209,"1.6420341N",37.3785896,656,0,269
70,TRUE,240520,84219,"1.6420325N",37.3785905,656,0,269
71,TRUE,240520,84229,"1.6420313N",37.3785925,655,0,269
72,TRUE,240520,84239,"1.6420308N",37.3785965,655,0,269
73,TRUE,240520,84249,"1.6420293N",37.3785991,655,0,269
74,TRUE,240520,84259,"1.6420276N",37.3786006,656,0,269
75,TRUE,240520,84309,"1.6420195N",37.3786061,655,0,269
76,TRUE,240520,84319,"1.6420148N",37.378609,655,0,269
77,TRUE,240520,84329,"1.6420203N",37.3786171,656,2.6,269
78,TRUE,240520,84339,"1.6420735N",37.3786505,655,2.9,16
79,TRUE,240520,84349,"1.6420913N",37.3786728,655,0,16
80,TRUE,240520,84359,"1.6420920N",37.3786716,655,0,16
81,TRUE,240520,84409,"1.6420938N",37.3786721,655,0,16
82,TRUE,240520,84419,"1.6420956N",37.378671,655,0,16
83,TRUE,240520,84429,"1.6420968N",37.3786711,656,0,16
84,TRUE,240520,84439,"1.6420970N",37.378671,656,0,16
85,TRUE,240520,84449,"1.6420973N",37.3786703,656,0,16
86,TRUE,240520,84459,"1.6420985N",37.37867,656,0,16
87,TRUE,240520,84509,"1.6421071N",37.3786716,654,0,16
88,TRUE,240520,84519,"1.6421113N",37.37867,654,0,16
89,TRUE,240520,84529,"1.6421136N",37.3786698,655,0,16
90,TRUE,240520,84539,"1.6421151N",37.3786703,655,0,16
91,TRUE,240520,84549,"1.6421155N",37.3786716,655,0,16
92,TRUE,240520,84559,"1.6420640N",37.3786706,656,0,211
93,TRUE,240520,84609,"1.6420536N",37.3786698,657,0,211
94,TRUE,240520,84619,"1.6420613N",37.3786523,657,0,315
95,TRUE,240520,84629,"1.6420800N",37.3786665,656,0,101
96,TRUE,240520,84639,"1.6420855N",37.378667,657,0,101
97,TRUE,240520,84649,"1.6420875N",37.3786648,657,0,101
98,TRUE,240520,84659,"1.6420891N",37.3786626,657,0,101
99,TRUE,240520,84709,"1.6420898N",37.3786626,657,0,101
100,TRUE,240520,84719,"1.6420910N",37.3786626,657,0,101
101,TRUE,240520,84729,"1.6420925N",37.3786626,657,0,101
102,TRUE,240520,84739,"1.6420938N",37.3786621,657,0,101
103,TRUE,240520,84749,"1.6420968N",37.3786741,657,0,101
104,TRUE,240520,84759,"1.6420988N",37.3786741,657,0,101
105,TRUE,240520,84809,"1.6421011N",37.3786743,657,0,101
106,TRUE,240520,84819,"1.6421031N",37.3786736,657,0,101
107,TRUE,240520,84829,"1.6421046N",37.3786726,657,0,101
108,TRUE,240520,84839,"1.6421050N",37.3786728,657,0,101
109,TRUE,240520,84849,"1.6421053N",37.3786728,657,0,101
110,TRUE,240520,84859,"1.6421158N",37.3786683,657,0,101
111,TRUE,240520,84909,"1.6421171N",37.3786716,657,0,101
112,TRUE,240520,84919,"1.6421173N",37.3786708,657,0,101
113,TRUE,240520,84929,"1.6421198N",37.3786706,657,0,101
114,TRUE,240520,84939,"1.6421220N",37.3786696,657,0,101
115,TRUE,240520,84949,"1.6421233N",37.37867,657,0,101
116,TRUE,240520,84959,"1.6421326N",37.378671,658,4.4,10
117,TRUE,240520,85009,"1.6421360N",37.378671,659,0,10
118,TRUE,240520,85019,"1.6421396N",37.378672,659,0,10
119,TRUE,240520,85029,"1.6421390N",37.3786713,659,0,10
120,TRUE,240520,85039,"1.6421378N",37.3786715,659,0,10
121,TRUE,240520,85049,"1.6421370N",37.3786718,659,0,10
122,TRUE,240520,85059,"1.6421376N",37.378673,659,0,10
123,TRUE,240520,85109,"1.6421380N",37.3786733,659,0,10
124,TRUE,240520,85119,"1.6421378N",37.3786738,659,0,10
125,TRUE,240520,85129,"1.6421380N",37.3786738,659,0,10
126,TRUE,240520,85139,"1.6421373N",37.3786731,659,0,10
127,TRUE,240520,85149,"1.6421375N",37.3786725,659,0,10
128,TRUE,240520,85159,"1.6421366N",37.3786723,659,0,10
129,TRUE,240520,85209,"1.6421368N",37.3786728,659,0,10
130,TRUE,240520,85219,"1.6421373N",37.3786733,659,0,10
131,TRUE,240520,85229,"1.6421371N",37.3786736,659,0,10
132,TRUE,240520,85239,"1.6421376N",37.3786741,659,0,10
133,TRUE,240520,85249,"1.6421383N",37.378675,659,0,10
134,TRUE,240520,85259,"1.6421381N",37.3786751,659,0,10
135,TRUE,240520,85309,"1.6421375N",37.3786753,659,0,10
136,TRUE,240520,85319,"1.6421373N",37.3786765,659,0,10
137,TRUE,240520,85329,"1.6421378N",37.3786761,658,0,10
138,TRUE,240520,85339,"1.6421386N",37.3786758,658,0,10
139,TRUE,240520,85349,"1.6421383N",37.3786761,658,0,10
140,TRUE,240520,85359,"1.6421388N",37.3786768,658,0,10
141,TRUE,240520,85409,"1.6421390N",37.378677,658,0,10
142,TRUE,240520,85419,"1.6421390N",37.378677,658,0,10
143,TRUE,240520,85429,"1.6421388N",37.3786768,658,0,10
144,TRUE,240520,85439,"1.6421396N",37.3786765,658,0,10
145,TRUE,240520,85449,"1.6421400N",37.378677,658,0,10
146,TRUE,240520,85459,"1.6421408N",37.3786773,658,0,10
