"INDEX","TAG","DATE","TIME","LATITUDE.N.S","LONGITUDE.E.W","HEIGHT","SPEED","HEADING"
1,TRUE,240608,64054,"1.2947858N",36.8956908,1265,0,0
2,TRUE,240608,64055,"1.2947858N",36.8956901,1265,0.2,0
3,TRUE,240608,64056,"1.2947886N",36.8956918,1264,3.7,87
4,TRUE,240608,64057,"1.2947885N",36.8956933,1264,0.6,87
5,TRUE,240608,64058,"1.2947891N",36.8956913,1265,0.6,87
6,TRUE,240608,64059,"1.2947895N",36.8956895,1265,0.2,87
7,TRUE,240608,64109,"1.2947895N",36.8956855,1265,0,87
8,TRUE,240608,64119,"1.2947913N",36.8956825,1264,0,87
9,TRUE,240608,64129,"1.2947926N",36.8956813,1264,0,87
10,TRUE,240608,64139,"1.2947933N",36.8956821,1264,0,87
11,TRUE,240608,64149,"1.2947921N",36.8956823,1264,0,87
12,TRUE,240608,64159,"1.2947910N",36.8956825,1264,0,87
13,TRUE,240608,64209,"1.2947903N",36.8956831,1264,0,87
14,TRUE,240608,64219,"1.2947908N",36.8956836,1264,0,87
15,TRUE,240608,64229,"1.2947920N",36.8956841,1264,0,87
16,TRUE,240608,64239,"1.2948005N",36.8956708,1254,0,80
17,TRUE,240608,64249,"1.2948008N",36.8956763,1254,0,80
18,TRUE,240608,64259,"1.2948008N",36.8956768,1257,0,80
19,TRUE,240608,64309,"1.2947965N",36.8956826,1259,0,80
20,TRUE,240608,64319,"1.2947961N",36.8956805,1260,0,80
21,TRUE,240608,64329,"1.2947978N",36.8956791,1261,0,80
22,TRUE,240608,64339,"1.2947983N",36.8956796,1261,0,80
23,TRUE,240608,64349,"1.2947971N",36.8956776,1261,0,80
24,TRUE,240608,64359,"1.2947968N",36.895676,1261,0,80
25,TRUE,240608,64409,"1.2947970N",36.895675,1261,0,80
26,TRUE,240608,64419,"1.2947970N",36.895674,1261,0,80
27,TRUE,240608,64429,"1.2947970N",36.8956745,1261,0,80
28,TRUE,240608,64439,"1.2947960N",36.8956755,1262,0,80
29,TRUE,240608,64449,"1.2947958N",36.8956765,1262,0,80
30,TRUE,240608,64459,"1.2947955N",36.8956775,1262,0,80
31,TRUE,240608,64509,"1.2947961N",36.895678,1262,0,80
32,TRUE,240608,64519,"1.2947963N",36.8956778,1262,0,80
33,TRUE,240608,64529,"1.2947966N",36.895678,1262,0,80
34,TRUE,240608,64539,"1.2947973N",36.8956776,1262,0,80
35,TRUE,240608,64549,"1.2947981N",36.8956778,1262,0,80
36,TRUE,240608,64559,"1.2947986N",36.8956775,1262,0,80
37,TRUE,240608,64609,"1.2947986N",36.8956775,1262,0,80
38,TRUE,240608,64619,"1.2947983N",36.8956776,1262,0,80
39,TRUE,240608,64629,"1.2947985N",36.895678,1262,0,80
40,TRUE,240608,64639,"1.2947990N",36.8956788,1262,0,80
41,TRUE,240608,64649,"1.2947998N",36.8956786,1262,0,80
42,TRUE,240608,64659,"1.2948010N",36.8956796,1262,0,80
43,TRUE,240608,64709,"1.2948015N",36.8956811,1262,0,80
44,TRUE,240608,64719,"1.2948016N",36.8956823,1263,0,80
45,TRUE,240608,64729,"1.2948010N",36.895682,1263,0,80
46,TRUE,240608,64739,"1.2947990N",36.895682,1263,0.4,80
47,TRUE,240608,64749,"1.2947981N",36.8956853,1264,0,80
48,TRUE,240608,64759,"1.2948170N",36.8956796,1263,3.6,344
49,TRUE,240608,64809,"1.2948331N",36.8957423,1263,0,71
50,TRUE,240608,64819,"1.2948331N",36.8957418,1263,0,71
51,TRUE,240608,64829,"1.2948321N",36.8957408,1263,0,71
52,TRUE,240608,64839,"1.2948318N",36.8957406,1263,0,71
53,TRUE,240608,64849,"1.2948303N",36.8957415,1263,0,71
54,TRUE,240608,64859,"1.2948298N",36.895741,1263,0,71
55,TRUE,240608,64909,"1.2948296N",36.8957415,1263,0,71
56,TRUE,240608,64919,"1.2948300N",36.895741,1263,0,71
57,TRUE,240608,64929,"1.2948303N",36.8957401,1263,0,71
58,TRUE,240608,64939,"1.2948310N",36.8957395,1263,0,71
59,TRUE,240608,64949,"1.2948315N",36.8957391,1263,0,71
60,TRUE,240608,64959,"1.2948323N",36.8957391,1263,0,71
61,TRUE,240608,65009,"1.2948328N",36.8957393,1263,0,71
62,TRUE,240608,65019,"1.2948335N",36.8957398,1263,0,71
63,TRUE,240608,65029,"1.2948340N",36.8957403,1263,0,71
64,TRUE,240608,65039,"1.2948345N",36.8957405,1263,0,71
65,TRUE,240608,65049,"1.2948351N",36.8957401,1263,0,71
66,TRUE,240608,65059,"1.2948353N",36.89574,1263,0,71
67,TRUE,240608,65109,"1.2948356N",36.8957403,1263,0,71
68,TRUE,240608,65119,"1.2948361N",36.895741,1263,0,71
69,TRUE,240608,65129,"1.2948363N",36.8957406,1263,0,71
70,TRUE,240608,65139,"1.2948363N",36.895741,1263,0,71
71,TRUE,240608,65149,"1.2948361N",36.8957416,1263,0,71
72,TRUE,240608,65159,"1.2948361N",36.895742,1263,0,71
73,TRUE,240608,65209,"1.2948368N",36.8957418,1263,0,71
74,TRUE,240608,65219,"1.2948363N",36.8957413,1263,0,71
75,TRUE,240608,65229,"1.2948365N",36.8957413,1263,0,71
76,TRUE,240608,65239,"1.2948360N",36.8957415,1263,0,71
77,TRUE,240608,65249,"1.2948351N",36.8957408,1263,0,71
78,TRUE,240608,65259,"1.2948351N",36.8957398,1263,0,71
79,TRUE,240608,65309,"1.2948360N",36.8957385,1263,0,71
80,TRUE,240608,65319,"1.2948366N",36.895738,1263,0,71
81,TRUE,240608,65329,"1.2948375N",36.8957383,1263,0,71
82,TRUE,240608,65339,"1.2948381N",36.8957386,1263,0,71
83,TRUE,240608,65349,"1.2948376N",36.8957388,1263,0,71
84,TRUE,240608,65359,"1.2948368N",36.8957388,1263,0,71
85,TRUE,240608,65409,"1.2948365N",36.8957386,1263,0,71
86,TRUE,240608,65419,"1.2948360N",36.8957383,1263,0,71
87,TRUE,240608,65429,"1.2948353N",36.8957373,1263,0,71
88,TRUE,240608,65439,"1.2948350N",36.8957371,1263,0,71
89,TRUE,240608,65449,"1.2948351N",36.8957376,1263,0,71
90,TRUE,240608,65459,"1.2948355N",36.895738,1263,0,71
91,TRUE,240608,65509,"1.2948353N",36.8957383,1263,0,71
92,TRUE,240608,65519,"1.2948351N",36.8957386,1263,0,71
93,TRUE,240608,65529,"1.2948350N",36.8957383,1263,0,71
94,TRUE,240608,65539,"1.2948353N",36.8957373,1263,0,71
95,TRUE,240608,65549,"1.2948353N",36.8957371,1263,0,71
96,TRUE,240608,65559,"1.2948355N",36.8957375,1263,0,71
97,TRUE,240608,65609,"1.2948363N",36.8957368,1263,0,71
98,TRUE,240608,65619,"1.2948368N",36.895736,1263,0,71
99,TRUE,240608,65629,"1.2948376N",36.8957355,1263,0,71
100,TRUE,240608,65639,"1.2948383N",36.8957348,1263,0,71
101,TRUE,240608,65649,"1.2948380N",36.8957346,1263,0,71
102,TRUE,240608,65659,"1.2948381N",36.8957345,1263,0,71
103,TRUE,240608,65709,"1.2948390N",36.8957348,1263,0,71
104,TRUE,240608,65719,"1.2948388N",36.8957345,1262,0,71
105,TRUE,240608,65729,"1.2948388N",36.8957335,1262,0,71
106,TRUE,240608,65739,"1.2948385N",36.8957323,1262,0,71
107,TRUE,240608,65749,"1.2948378N",36.8957318,1262,0,71
108,TRUE,240608,65759,"1.2948371N",36.8957316,1262,0,71
109,TRUE,240608,65809,"1.2948365N",36.8957313,1262,0,71
110,TRUE,240608,65819,"1.2948351N",36.8957306,1262,0,71
111,TRUE,240608,65829,"1.2948338N",36.8957303,1262,0,71
112,TRUE,240608,65839,"1.2948323N",36.895731,1262,0,71
113,TRUE,240608,65849,"1.2948323N",36.8957305,1262,0,71
114,TRUE,240608,65859,"1.2948333N",36.8957298,1262,0,71
115,TRUE,240608,65909,"1.2948335N",36.8957293,1262,0,71
116,TRUE,240608,65919,"1.2948331N",36.8957295,1262,0,71
117,TRUE,240608,65929,"1.2948331N",36.8957296,1262,0,71
118,TRUE,240608,65939,"1.2948333N",36.8957295,1262,0,71
119,TRUE,240608,65949,"1.2948328N",36.89573,1262,0,71
120,TRUE,240608,65959,"1.2948326N",36.89573,1262,0,71
121,TRUE,240608,70009,"1.2948335N",36.8957296,1262,0,71
122,TRUE,240608,70019,"1.2948343N",36.8957298,1262,0,71
123,TRUE,240608,70029,"1.2948350N",36.8957305,1262,0,71
124,TRUE,240608,70039,"1.2948358N",36.895732,1262,0,71
125,TRUE,240608,70049,"1.2948361N",36.8957326,1262,0,71
126,TRUE,240608,70059,"1.2948360N",36.895733,1262,0,71
127,TRUE,240608,70109,"1.2948360N",36.8957328,1262,0,71
128,TRUE,240608,70119,"1.2948355N",36.8957326,1262,0,71
129,TRUE,240608,70129,"1.2948350N",36.8957326,1262,0,71
130,TRUE,240608,70139,"1.2948345N",36.8957321,1262,0,71
131,TRUE,240608,70149,"1.2948343N",36.895732,1262,0,71
132,TRUE,240608,70159,"1.2948341N",36.895732,1262,0,71
133,TRUE,240608,70209,"1.2948338N",36.895732,1262,0,71
134,TRUE,240608,70219,"1.2948336N",36.8957318,1262,0,71
135,TRUE,240608,70229,"1.2948340N",36.8957326,1262,0,71
136,TRUE,240608,70239,"1.2948336N",36.8957336,1262,0,71
137,TRUE,240608,70249,"1.2948335N",36.8957345,1262,0,71
138,TRUE,240608,70259,"1.2948328N",36.8957356,1262,0,71
139,TRUE,240608,70309,"1.2948326N",36.8957371,1262,0,71
140,TRUE,240608,70319,"1.2948330N",36.8957376,1261,0,71
141,TRUE,240608,70329,"1.2948333N",36.8957376,1261,0,71
142,TRUE,240608,70339,"1.2948335N",36.8957375,1261,0,71
143,TRUE,240608,70349,"1.2948341N",36.8957375,1261,0,71
144,TRUE,240608,70359,"1.2948355N",36.8957373,1261,0,71
145,TRUE,240608,70409,"1.2948356N",36.8957368,1261,0,71
146,TRUE,240608,70419,"1.2948360N",36.8957366,1261,0,71
147,TRUE,240608,70429,"1.2948365N",36.8957361,1261,0,71
148,TRUE,240608,70439,"1.2948361N",36.895736,1261,0,71
149,TRUE,240608,70449,"1.2948365N",36.895736,1261,0,71
150,TRUE,240608,70459,"1.2948365N",36.8957358,1261,0,71
151,TRUE,240608,70509,"1.2948361N",36.8957361,1261,0,71
152,TRUE,240608,70519,"1.2948363N",36.8957355,1261,0,71
153,TRUE,240608,70529,"1.2948365N",36.8957348,1261,0,71
154,TRUE,240608,70539,"1.2948363N",36.8957343,1261,0,71
155,TRUE,240608,70549,"1.2948360N",36.8957341,1261,0,71
156,TRUE,240608,70559,"1.2948356N",36.8957335,1261,0,71
157,TRUE,240608,70609,"1.2948351N",36.8957335,1261,0,71
158,TRUE,240608,70619,"1.2948343N",36.895734,1261,0,71
159,TRUE,240608,70629,"1.2948340N",36.8957345,1261,0,71
160,TRUE,240608,70639,"1.2948345N",36.8957345,1261,0,71
161,TRUE,240608,70649,"1.2948351N",36.895734,1261,0,71
162,TRUE,240608,70659,"1.2948355N",36.8957338,1261,0,71
163,TRUE,240608,70709,"1.2948360N",36.8957333,1261,0,71
164,TRUE,240608,70719,"1.2948370N",36.8957331,1261,0,71
165,TRUE,240608,70729,"1.2948375N",36.8957335,1261,0,71
166,TRUE,240608,70739,"1.2948370N",36.8957341,1261,0,71
167,TRUE,240608,70749,"1.2948370N",36.8957346,1261,0,71
168,TRUE,240608,70759,"1.2948368N",36.895735,1261,0,71
169,TRUE,240608,70809,"1.2948361N",36.895735,1261,0,71
170,TRUE,240608,70819,"1.2948353N",36.895735,1261,0,71
171,TRUE,240608,70829,"1.2948350N",36.895735,1261,0,71
172,TRUE,240608,70839,"1.2948341N",36.895735,1261,0,71
173,TRUE,240608,70849,"1.2948345N",36.8957346,1261,0,71
174,TRUE,240608,70859,"1.2948348N",36.8957345,1261,0,71
175,TRUE,240608,70909,"1.2948348N",36.8957336,1261,0,71
