"INDEX","TAG","DATE","TIME","LATITUDE.N.S","LONGITUDE.E.W","HEIGHT","SPEED","HEADING"
1,TRUE,240612,70812,"1.3478595N",37.195227,1252,0.7,0
2,TRUE,240612,70822,"1.3478480N",37.1952423,1221,0,0
3,TRUE,240612,70832,"1.3478126N",37.1952415,1207,0,0
4,TRUE,240612,70842,"1.3477481N",37.195214,1193,0,0
5,TRUE,240612,70852,"1.3477135N",37.1952061,1181,0,116
6,TRUE,240612,70853,"1.3477133N",37.195207,1181,0,116
7,TRUE,240612,70854,"1.3477143N",37.195208,1181,0,116
8,TRUE,240612,70855,"1.3477150N",37.1952088,1181,0,116
9,TRUE,240612,70856,"1.3477155N",37.1952096,1181,0,116
10,TRUE,240612,70857,"1.3477161N",37.1952106,1182,0,116
11,TRUE,240612,70858,"1.3477168N",37.195211,1182,0,116
12,TRUE,240612,70859,"1.3477173N",37.195211,1182,0,116
13,TRUE,240612,70909,"1.3477180N",37.1952128,1180,0,116
14,TRUE,240612,70919,"1.3477030N",37.1952161,1179,1.9,116
15,TRUE,240612,70929,"1.3476955N",37.1952005,1179,0,116
16,TRUE,240612,70939,"1.3476936N",37.1952011,1178,0,116
17,TRUE,240612,70949,"1.3476938N",37.1952,1178,0,116
18,TRUE,240612,70959,"1.3477155N",37.1952156,1179,0,116
19,TRUE,240612,71009,"1.3477011N",37.1952161,1179,0,116
20,TRUE,240612,71019,"1.3476991N",37.1952146,1179,0,116
21,TRUE,240612,71029,"1.3476985N",37.1952141,1179,0,116
22,TRUE,240612,71039,"1.3476981N",37.195214,1179,0,116
23,TRUE,240612,71049,"1.3476900N",37.1951991,1179,0,116
24,TRUE,240612,71059,"1.3476921N",37.1952006,1179,0,116
25,TRUE,240612,71109,"1.3476933N",37.1951998,1179,0,116
26,TRUE,240612,71119,"1.3476945N",37.1951995,1179,0,116
27,TRUE,240612,71129,"1.3476950N",37.1952,1179,0,116
28,TRUE,240612,71139,"1.3476953N",37.1952003,1179,0,116
29,TRUE,240612,71149,"1.3476953N",37.195201,1179,0,116
30,TRUE,240612,71159,"1.3476953N",37.1952016,1179,0,116
31,TRUE,240612,71209,"1.3476951N",37.1952021,1179,0,116
32,TRUE,240612,71219,"1.3476951N",37.1952028,1179,0,116
33,TRUE,240612,71229,"1.3476955N",37.1952028,1179,0,116
34,TRUE,240612,71239,"1.3476953N",37.1952028,1179,0,116
35,TRUE,240612,71249,"1.3476953N",37.1952025,1179,0,116
36,TRUE,240612,71259,"1.3476958N",37.1952025,1179,0,116
37,TRUE,240612,71309,"1.3476996N",37.195201,1179,0,116
38,TRUE,240612,71319,"1.3477026N",37.1952016,1179,0,116
39,TRUE,240612,71329,"1.3476920N",37.1951958,1180,0,116
40,TRUE,240612,71339,"1.3476805N",37.1951953,1180,0,116
41,TRUE,240612,71349,"1.3476780N",37.1951951,1180,0,116
42,TRUE,240612,71359,"1.3476846N",37.1952023,1179,0,116
43,TRUE,240612,71409,"1.3476881N",37.1952055,1179,0,116
44,TRUE,240612,71419,"1.3476891N",37.1952058,1179,0,116
45,TRUE,240612,71429,"1.3476900N",37.1952081,1179,0,116
46,TRUE,240612,71439,"1.3476883N",37.1952078,1179,0,116
47,TRUE,240612,71449,"1.3476878N",37.195206,1179,0,116
48,TRUE,240612,71459,"1.3476883N",37.195205,1179,0,116
49,TRUE,240612,71509,"1.3476886N",37.1952036,1179,0,116
50,TRUE,240612,71519,"1.3476896N",37.1952026,1179,0,116
51,TRUE,240612,71529,"1.3476908N",37.1952026,1179,0,116
