"INDEX","TAG","DATE","TIME","LATITUDE.N.S","LONGITUDE.E.W","HEIGHT","SPEED","HEADING"
1,TRUE,240613,62612,"1.3481305N",37.1972258,1162,0.5,0
2,TRUE,240613,62622,"1.3481375N",37.1971905,1163,0,0
3,TRUE,240613,62632,"1.3481386N",37.1971931,1163,0,0
4,TRUE,240613,62642,"1.3481396N",37.1971941,1164,0,0
5,TRUE,240613,62652,"1.3481413N",37.197193,1164,0,0
6,TRUE,240613,62653,"1.3481411N",37.197193,1164,0,0
7,TRUE,240613,62654,"1.3481413N",37.1971931,1164,0,0
8,TRUE,240613,62655,"1.3481413N",37.197193,1164,0,0
9,TRUE,240613,62656,"1.3481410N",37.1971931,1164,0,0
10,TRUE,240613,62657,"1.3481410N",37.1971931,1164,0,0
11,TRUE,240613,62658,"1.3481410N",37.1971931,1164,0,0
12,TRUE,240613,62659,"1.3481411N",37.197193,1164,0,0
13,TRUE,240613,62709,"1.3481403N",37.1971951,1164,0,234
14,TRUE,240613,62719,"1.3481385N",37.1971968,1164,0.8,234
15,TRUE,240613,62729,"1.3481358N",37.1971966,1164,0,234
16,TRUE,240613,62739,"1.3481341N",37.1971963,1164,0,234
17,TRUE,240613,62749,"1.3481328N",37.1971946,1164,0,234
18,TRUE,240613,62759,"1.3481330N",37.1971943,1164,0,234
19,TRUE,240613,62809,"1.3481338N",37.197194,1164,0,234
20,TRUE,240613,62819,"1.3481343N",37.1971941,1164,0,234
21,TRUE,240613,62829,"1.3481348N",37.1971938,1164,0,234
22,TRUE,240613,62839,"1.3481360N",37.1971941,1164,0,234
23,TRUE,240613,62849,"1.3481361N",37.1971945,1164,0,234
24,TRUE,240613,62859,"1.3481351N",37.1971951,1164,0,234
25,TRUE,240613,62909,"1.3481360N",37.1971946,1164,0,234
26,TRUE,240613,62919,"1.3481356N",37.1971948,1164,0,234
27,TRUE,240613,62929,"1.3481356N",37.1971955,1164,0,234
28,TRUE,240613,62939,"1.3481356N",37.197196,1164,0,234
29,TRUE,240613,62949,"1.3481358N",37.197197,1164,0,234
30,TRUE,240613,62959,"1.3481356N",37.1971975,1164,0,234
31,TRUE,240613,63009,"1.3480095N",37.1971475,1115,0,221
32,TRUE,240613,63019,"1.3480073N",37.1971378,1106,0,221
33,TRUE,240613,63029,"1.3480135N",37.1971221,1097,0,221
34,TRUE,240613,63039,"1.3480050N",37.1971086,1099,0,221
35,TRUE,240613,63049,"1.3480145N",37.1971173,1103,0,221
36,TRUE,240613,63059,"1.3480298N",37.197129,1106,0,221
37,TRUE,240613,63109,"1.3480376N",37.1971366,1109,0,221
38,TRUE,240613,63119,"1.3480423N",37.197139,1111,0,221
39,TRUE,240613,63129,"1.3480473N",37.1971438,1114,0,221
40,TRUE,240613,63139,"1.3480541N",37.1971485,1116,0,221
41,TRUE,240613,63149,"1.3480605N",37.1971536,1119,0,221
42,TRUE,240613,63159,"1.3480660N",37.197158,1121,0,221
43,TRUE,240613,63209,"1.3480706N",37.1971593,1124,0,221
44,TRUE,240613,63219,"1.3480763N",37.1971615,1126,0,221
45,TRUE,240613,63229,"1.3480965N",37.197147,1130,2.6,221
46,TRUE,240613,63239,"1.3481415N",37.197166,1134,0,124
47,TRUE,240613,63249,"1.3481743N",37.1971576,1139,3.8,298
48,TRUE,240613,63259,"1.3482750N",37.1970608,1141,6.3,303
49,TRUE,240613,63309,"1.3483601N",37.1969638,1142,6,297
50,TRUE,240613,63319,"1.3483725N",37.1969538,1145,0,323
51,TRUE,240613,63329,"1.3483693N",37.1969686,1144,0,102
52,TRUE,240613,63339,"1.3483703N",37.1969663,1146,0,102
53,TRUE,240613,63349,"1.3483708N",37.196967,1146,0,102
54,TRUE,240613,63359,"1.3484005N",37.1969635,1148,0,350
55,TRUE,240613,63409,"1.3483891N",37.1969353,1149,0,350
56,TRUE,240613,63419,"1.3483860N",37.1969345,1150,0,350
57,TRUE,240613,63429,"1.3483781N",37.1969435,1151,0,350
58,TRUE,240613,63439,"1.3483671N",37.1969603,1152,0,350
59,TRUE,240613,63449,"1.3483661N",37.196961,1153,0,350
60,TRUE,240613,63459,"1.3484006N",37.1969468,1153,3.1,349
61,TRUE,240613,63509,"1.3484066N",37.1969553,1154,0,349
62,TRUE,240613,63519,"1.3484078N",37.1969553,1154,0,349
63,TRUE,240613,63529,"1.3484091N",37.196958,1154,0,349
64,TRUE,240613,63539,"1.3484100N",37.1969596,1154,0,349
65,TRUE,240613,63549,"1.3484106N",37.196961,1154,0,349
66,TRUE,240613,63559,"1.3484113N",37.1969591,1154,0,349
67,TRUE,240613,63609,"1.3484116N",37.1969608,1154,0,349
68,TRUE,240613,63619,"1.3484108N",37.1969621,1154,0,349
69,TRUE,240613,63629,"1.3484133N",37.1969645,1154,0,349
70,TRUE,240613,63639,"1.3484128N",37.1969651,1154,0,349
71,TRUE,240613,63649,"1.3484121N",37.1969651,1154,0,349
72,TRUE,240613,63659,"1.3484111N",37.1969641,1155,0,349
73,TRUE,240613,63709,"1.3484096N",37.1969626,1155,0,349
74,TRUE,240613,63719,"1.3484078N",37.1969616,1155,0,349
75,TRUE,240613,63729,"1.3484070N",37.1969608,1155,0,349
76,TRUE,240613,63739,"1.3484070N",37.1969605,1155,0,349
77,TRUE,240613,63749,"1.3484070N",37.1969595,1155,0,349
78,TRUE,240613,63759,"1.3484066N",37.196959,1155,0,349
79,TRUE,240613,63809,"1.3484060N",37.196959,1155,0,349
80,TRUE,240613,63819,"1.3484055N",37.1969591,1155,0,349
81,TRUE,240613,63829,"1.3484060N",37.1969593,1155,0,349
82,TRUE,240613,63839,"1.3484058N",37.1969588,1155,0,349
83,TRUE,240613,63849,"1.3484063N",37.1969583,1155,0,349
84,TRUE,240613,63859,"1.3484071N",37.1969578,1155,0,349
85,TRUE,240613,63909,"1.3484080N",37.1969578,1155,0,349
86,TRUE,240613,63919,"1.3484085N",37.196958,1155,0,349
87,TRUE,240613,63929,"1.3484086N",37.1969578,1155,0,349
88,TRUE,240613,63939,"1.3484086N",37.1969578,1155,0,349
89,TRUE,240613,63949,"1.3484081N",37.1969571,1155,0,349
90,TRUE,240613,63959,"1.3484080N",37.1969565,1155,0,349
91,TRUE,240613,64009,"1.3484071N",37.1969555,1155,0,349
92,TRUE,240613,64019,"1.3484060N",37.196955,1155,0,349
93,TRUE,240613,64029,"1.3484050N",37.196955,1155,0,349
94,TRUE,240613,64039,"1.3484046N",37.1969551,1155,0,349
95,TRUE,240613,64049,"1.3484051N",37.1969556,1155,0,349
96,TRUE,240613,64059,"1.3484045N",37.1969561,1155,0,349
97,TRUE,240613,64109,"1.3484040N",37.1969568,1155,0,349
98,TRUE,240613,64119,"1.3484038N",37.1969573,1155,0,349
99,TRUE,240613,64129,"1.3484035N",37.1969581,1155,0,349
100,TRUE,240613,64139,"1.3484033N",37.1969581,1155,0,349
101,TRUE,240613,64149,"1.3484031N",37.1969576,1155,0,349
102,TRUE,240613,64159,"1.3484030N",37.1969571,1155,0,349
103,TRUE,240613,64209,"1.3484028N",37.1969573,1155,0,349
104,TRUE,240613,64219,"1.3484025N",37.1969571,1155,0,349
105,TRUE,240613,64229,"1.3484028N",37.1969561,1155,0,349
106,TRUE,240613,64239,"1.3484033N",37.196955,1155,0,349
107,TRUE,240613,64249,"1.3484028N",37.1969548,1155,0,349
108,TRUE,240613,64259,"1.3484028N",37.1969543,1155,0,349
109,TRUE,240613,64309,"1.3484033N",37.1969533,1155,0,349
110,TRUE,240613,64319,"1.3484038N",37.1969525,1155,0,349
111,TRUE,240613,64329,"1.3484045N",37.1969525,1155,0,349
112,TRUE,240613,64339,"1.3484060N",37.1969533,1155,0,349
113,TRUE,240613,64349,"1.3484066N",37.1969538,1155,0,349
114,TRUE,240613,64359,"1.3484075N",37.1969541,1155,0,349
115,TRUE,240613,64409,"1.3484083N",37.196954,1155,0,349
116,TRUE,240613,64419,"1.3484225N",37.1969396,1155,3.1,349
117,TRUE,240613,64429,"1.3484245N",37.1969541,1156,0,349
118,TRUE,240613,64439,"1.3484191N",37.1969738,1156,0,349
119,TRUE,240613,64449,"1.3484196N",37.1969758,1156,0,349
120,TRUE,240613,64459,"1.3484091N",37.1969926,1157,0,349
121,TRUE,240613,64509,"1.3484065N",37.1969958,1157,0,349
122,TRUE,240613,64519,"1.3484056N",37.1969976,1157,0,349
123,TRUE,240613,64529,"1.3484055N",37.196998,1157,0,349
124,TRUE,240613,64539,"1.3484051N",37.196998,1157,0,349
125,TRUE,240613,64549,"1.3484035N",37.196999,1157,0,349
126,TRUE,240613,64559,"1.3484018N",37.1969991,1157,0,349
127,TRUE,240613,64609,"1.3484006N",37.1970008,1157,0,349
128,TRUE,240613,64619,"1.3483986N",37.1970025,1157,0,349
129,TRUE,240613,64629,"1.3483970N",37.197004,1157,0,349
130,TRUE,240613,64639,"1.3483958N",37.1970053,1157,0,349
131,TRUE,240613,64649,"1.3483955N",37.1970066,1157,0,349
132,TRUE,240613,64659,"1.3483946N",37.1970081,1157,0,349
133,TRUE,240613,64709,"1.3483938N",37.1970098,1157,0,349
134,TRUE,240613,64719,"1.3483755N",37.197026,1157,0,349
135,TRUE,240613,64729,"1.3483671N",37.1970361,1158,0,349
136,TRUE,240613,64739,"1.3483661N",37.1970385,1158,0,349
137,TRUE,240613,64749,"1.3483650N",37.1970393,1158,0,349
138,TRUE,240613,64759,"1.3483636N",37.1970416,1158,0,349
139,TRUE,240613,64809,"1.3483623N",37.1970435,1158,0,349
140,TRUE,240613,64819,"1.3483570N",37.1970475,1158,0,349
141,TRUE,240613,64829,"1.3483563N",37.1970485,1158,0,349
142,TRUE,240613,64839,"1.3483478N",37.1970491,1158,0,349
143,TRUE,240613,64849,"1.3483300N",37.1970541,1158,0,349
144,TRUE,240613,64859,"1.3483255N",37.1970543,1159,0,349
145,TRUE,240613,64909,"1.3483231N",37.1970543,1159,0,349
146,TRUE,240613,64919,"1.3483223N",37.1970548,1159,0,349
147,TRUE,240613,64929,"1.3483218N",37.1970553,1159,0,349
148,TRUE,240613,64939,"1.3483223N",37.1970553,1159,0,349
149,TRUE,240613,64949,"1.3483231N",37.1970556,1159,0,349
150,TRUE,240613,64959,"1.3483231N",37.1970556,1159,0,349
151,TRUE,240613,65009,"1.3483225N",37.197056,1159,0,349
152,TRUE,240613,65019,"1.3483216N",37.1970555,1159,0,349
153,TRUE,240613,65029,"1.3483206N",37.197055,1159,0,349
154,TRUE,240613,65039,"1.3483165N",37.1970548,1158,0,349
155,TRUE,240613,65049,"1.3483128N",37.1970541,1158,0,349
156,TRUE,240613,65059,"1.3483111N",37.197054,1158,0,349
157,TRUE,240613,65109,"1.3483106N",37.1970541,1158,0,349
158,TRUE,240613,65119,"1.3483098N",37.1970536,1158,0,349
159,TRUE,240613,65129,"1.3483096N",37.1970533,1158,0,349
160,TRUE,240613,65139,"1.3483100N",37.1970536,1158,0,349
161,TRUE,240613,65149,"1.3483100N",37.197055,1158,0,349
162,TRUE,240613,65159,"1.3483098N",37.197056,1159,0,349
163,TRUE,240613,65209,"1.3483353N",37.1970413,1158,1.3,349
164,TRUE,240613,65219,"1.3483326N",37.1970418,1158,0,349
165,TRUE,240613,65229,"1.3483313N",37.1970408,1158,0,349
166,TRUE,240613,65239,"1.3483311N",37.197041,1158,0,349
167,TRUE,240613,65249,"1.3483436N",37.1970375,1159,0,349
168,TRUE,240613,65259,"1.3483623N",37.1970236,1158,0,349
169,TRUE,240613,65309,"1.3483650N",37.1970238,1159,0,349
170,TRUE,240613,65319,"1.3483915N",37.1969838,1158,2.6,349
171,TRUE,240613,65329,"1.3484508N",37.196952,1157,3.6,63
172,TRUE,240613,65339,"1.3484838N",37.1970086,1157,2,63
173,TRUE,240613,65349,"1.3485110N",37.1970663,1156,2.9,75
174,TRUE,240613,65359,"1.3485356N",37.1971268,1155,2.7,75
175,TRUE,240613,65409,"1.3485415N",37.1971866,1156,3.2,99
176,TRUE,240613,65419,"1.3485246N",37.19726,1154,3.6,122
177,TRUE,240613,65429,"1.3485135N",37.1973241,1153,3,136
178,TRUE,240613,65439,"1.3485385N",37.1974016,1152,2.9,80
179,TRUE,240613,65449,"1.3485901N",37.1974598,1152,2.5,52
180,TRUE,240613,65459,"1.3486686N",37.1975295,1150,2.4,44
181,TRUE,240613,65509,"1.3487368N",37.1975618,1151,3.2,27
182,TRUE,240613,65519,"1.3487893N",37.1976315,1152,3.2,66
183,TRUE,240613,65529,"1.3488571N",37.1976778,1151,2,39
184,TRUE,240613,65539,"1.3489218N",37.1977226,1150,3.6,28
185,TRUE,240613,65549,"1.3489931N",37.1977798,1149,2.3,44
186,TRUE,240613,65559,"1.3490545N",37.1978486,1147,1.8,54
187,TRUE,240613,65609,"1.3491360N",37.1979035,1146,4,44
188,TRUE,240613,65619,"1.3492081N",37.1979691,1145,3.3,46
189,TRUE,240613,65629,"1.3492756N",37.198019,1144,3.6,13
190,TRUE,240613,65639,"1.3493336N",37.198095,1144,3.3,67
191,TRUE,240613,65649,"1.3494121N",37.1981546,1143,3,41
192,TRUE,240613,65659,"1.3494790N",37.198219,1141,3.5,55
193,TRUE,240613,65709,"1.3495233N",37.1982641,1141,1.6,48
194,TRUE,240613,65719,"1.3495690N",37.198375,1140,4.6,69
195,TRUE,240613,65729,"1.3496008N",37.1984306,1139,2.1,59
196,TRUE,240613,65739,"1.3496275N",37.1984846,1141,2.2,74
197,TRUE,240613,65749,"1.3496503N",37.1985213,1141,0,74
198,TRUE,240613,65759,"1.3496981N",37.198574,1144,1.8,52
199,TRUE,240613,65809,"1.3497295N",37.1986183,1145,1.8,52
200,TRUE,240613,65819,"1.3497805N",37.198697,1145,0,52
201,TRUE,240613,65829,"1.3498606N",37.1987726,1145,2.3,52
202,TRUE,240613,65839,"1.3499160N",37.1988233,1145,0,52
203,TRUE,240613,65849,"1.3499753N",37.1988781,1143,4.1,43
204,TRUE,240613,65859,"1.3499755N",37.1989595,1142,4.1,113
