"Time","lat","lon","elevation","satellites","hdop","geometry"
2024-06-12 08:13:45,1.319166,37.200871,1326.5,11,1.89999997615814,c(37.200871, 1.319166)
2024-06-12 08:13:48,1.3192,37.20089,1333,11,2.79999995231628,c(37.20089, 1.3192)
2024-06-12 08:13:51,1.319111,37.201163,1271.4,10,1,c(37.201163, 1.319111)
2024-06-12 08:13:54,1.319098,37.201155,1270.8,11,1,c(37.201155, 1.319098)
2024-06-12 08:13:57,1.319106,37.201136,1273.1,10,1,c(37.201136, 1.319106)
2024-06-12 08:14:00,1.31912,37.201156,1269.9,10,1,c(37.201156, 1.31912)
2024-06-12 08:14:03,1.319218,37.2011,1298.4,10,0.800000011920929,c(37.2011, 1.319218)
2024-06-12 08:14:06,1.319226,37.201101,1298.1,10,0.800000011920929,c(37.201101, 1.319226)
2024-06-12 08:14:09,1.319218,37.2011,1299.3,10,0.800000011920929,c(37.2011, 1.319218)
2024-06-12 08:14:12,1.319215,37.201091,1299.4,9,0.800000011920929,c(37.201091, 1.319215)
2024-06-12 08:14:15,1.319216,37.201096,1299.4,9,0.800000011920929,c(37.201096, 1.319216)
2024-06-12 08:14:18,1.319218,37.2011,1299.6,9,0.800000011920929,c(37.2011, 1.319218)
2024-06-12 08:14:21,1.31922,37.201105,1299.5,9,0.800000011920929,c(37.201105, 1.31922)
2024-06-12 08:14:24,1.31922,37.201105,1299.5,9,0.800000011920929,c(37.201105, 1.31922)
2024-06-12 08:14:27,1.31922,37.201105,1299.5,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:14:30,1.31922,37.201105,1299.5,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:14:33,1.31922,37.201105,1299.4,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:14:36,1.31922,37.201105,1299.4,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:14:39,1.31922,37.201105,1299.4,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:14:42,1.31922,37.201105,1299.4,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:14:45,1.31922,37.201105,1299.4,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:14:48,1.31922,37.201105,1299.4,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:14:51,1.31922,37.201105,1299.4,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:14:54,1.31922,37.201105,1299.4,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:14:57,1.31922,37.201105,1299.4,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:15:00,1.31922,37.201105,1299.4,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:15:03,1.31922,37.201105,1299.4,9,0.899999976158142,c(37.201105, 1.31922)
2024-06-12 08:15:06,1.31922,37.201105,1299.4,9,0.899999976158142,c(37.201105, 1.31922)
