"hh_id","county","ward","livestock_species","gps_logger_id","date_deployed","date_retrieved","ceres_tag_id","ticks_initial_amb_hya","ticks_initial_amb_hya_sample_id","ticks_initial_groin","ticks_initial_groin_sample_id","ticks_initial_genitals","ticks_initial_genitals_sample_id","ticks_initial_face","ticks_initial_face_sample_id","ticks_initial_other","ticks_initial_other_sample_id","ticks_initial_total","ticks_initial_amb_hya_herd_yn","ticks_initial_amb_hya_herd","ticks_initial_amb_hya_herd_added","ticks_final_groin","ticks_final_groin_sample_id","ticks_final_genitals","ticks_final_genitals_sample_id","ticks_final_face","ticks_final_face_sample_id","ticks_final_other","ticks_final_other_sample_id","ticks_final_total","ticks_final_amb_hya_herd_yn","ticks_final_amb_hya_herd","ticks_final_amb_hya_herd_added"
"DHH010001","samburu","porro","goat",8,2024-04-25,2024-04-27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010001","samburu","porro","sheep",4,2024-04-25,2024-04-27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010002","samburu","porro","cattle",6,2024-04-26,2024-04-30,NA,1,"DTK000085",0,NA,3,"DTK000089",0,NA,0,NA,4,NA,0,"OK",0,NA,0,NA,0,NA,0,NA,0,NA,0,"OK"
"DHH010002","samburu","porro","camel",7,2024-04-26,2024-04-30,"2207B1969",1,"DTK000086",7,"DTK000090",7,"DTK000090",0,NA,0,NA,15,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010002","samburu","porro","sheep",5,2024-04-26,2024-04-30,NA,5,"DTK000092",5,"DTK000088",0,NA,0,NA,0,NA,10,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010002","samburu","porro","goat",3,2024-04-26,2024-04-28,NA,1,"DTK000093",0,NA,1,"DTK000087",0,NA,0,NA,2,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010003","samburu","porro","sheep",9,2024-04-27,2024-04-29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010003","samburu","porro","camel",2,2024-04-27,2024-04-29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010003","samburu","porro","cattle",1,2024-04-27,2024-04-29,"2207B1780",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"OK",0,NA,0,NA,0,NA,0,NA,0,NA,0,"OK"
"DHH010007","samburu","ndoto","cattle",2,2024-05-20,2024-05-25,NA,5,"DTK000098",0,NA,0,NA,0,NA,0,NA,5,NA,8,"OK",1,"DTK000109",0,NA,0,NA,0,NA,1,"no",NA,NA
"DHH010007","samburu","ndoto","goat",5,2024-05-20,2024-05-23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010007","samburu","ndoto","sheep",6,2024-05-20,2024-05-23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"DHH010007","samburu","ndoto","camel",8,2024-05-20,2024-05-23,"2207B1865",6,"DTK000099",0,NA,0,NA,0,NA,0,NA,6,NA,NA,NA,1,"DTK000108",5,"DTK000104",0,NA,0,NA,6,NA,NA,NA
"DHH010008","samburu","ndoto","cattle",1,2024-05-20,2024-05-23,"2207B1947",4,"DTK000100",0,NA,0,NA,0,NA,0,NA,4,NA,6,"OK",0,NA,0,NA,0,NA,0,NA,0,"no",NA,NA
"DHH010008","samburu","ndoto","camel",7,2024-05-20,2024-05-25,NA,5,"DTK000101",0,NA,0,NA,0,NA,0,NA,5,NA,NA,NA,0,NA,17,"DTK000106",0,NA,0,NA,17,NA,NA,NA
